DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;OFFERED_CAPACITY_PRICE_[EUR/MW];OFFERED_CAPACITY_[MW];ALLOCATED_CAPACITY_[MW];COUNTRY;SETTLEMENTCAPACITY_PRICE_[EUR/MW];NOTE
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;2;2;DE;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;1;1;DE;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;1;1;DE;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;6;6;DE;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;1;1;NL;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;1;1;NL;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;1;1;NL;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;1;1;BE;57,53;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;1;1;BE;57,53;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;1;1;BE;57,53;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;1;1;BE;57,53;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;10;10;DE;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;10;10;DE;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;9;9;DE;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;5;5;DE;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;5;5;DE;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;4;4;DE;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;8;8;DE;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;1;1;DE;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;11;11;DE;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;1;1;DE;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;4;4;AT;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;3;3;FR;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;62;62;FR;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;2;2;FR;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;1;1;BE;57,53;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,00;12;12;DE;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,01;2;2;FR;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,04;15;15;CZ;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,20;7;7;FR;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,25;1;1;DE;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,25;1;1;DE;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,25;1;1;DE;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,36;7;7;FR;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,40;5;5;CZ;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,50;18;18;FR;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,56;7;7;FR;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,76;7;7;FR;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;0,96;7;7;FR;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;1,00;1;1;DE;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;1,00;2;2;DE;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;1,00;1;1;DE;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;1,00;1;1;DE;13,60;
01/03/2025;01/03/2025;FCR;NEGPOS_00_04;1,00;3;3;DE;13,60;
