DATE_FROM;DATE_TO;PRODUCT_TYPE;TENDER_NUMBER;PRODUCTNAME;CROSSBORDER_SETTLEMENTCAPACITY_PRICE_[EUR/MW];AUSTRIA_DEMAND_[MW];AUSTRIA_SETTLEMENTCAPACITY_PRICE_[EUR/MW];AUSTRIA_DEFICIT(-)_SURPLUS(+)_[MW];BELGIUM_DEMAND_[MW];BELGIUM_SETTLEMENTCAPACITY_PRICE_[EUR/MW];BELGIUM_DEFICIT(-)_SURPLUS(+)_[MW];DENMARK_DEMAND_[MW];DENMARK_SETTLEMENTCAPACITY_PRICE_[EUR/MW];DENMARK_DEFICIT(-)_SURPLUS(+)_[MW];FRANCE_DEMAND_[MW];FRANCE_SETTLEMENTCAPACITY_PRICE_[EUR/MW];FRANCE_DEFICIT(-)_SURPLUS(+)_[MW];GERMANY_DEMAND_[MW];GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW];GERMANY_DEFICIT(-)_SURPLUS(+)_[MW];NETHERLANDS_DEMAND_[MW];NETHERLANDS_SETTLEMENTCAPACITY_PRICE_[EUR/MW];NETHERLANDS_DEFICIT(-)_SURPLUS(+)_[MW];SLOVENIA_DEMAND_[MW];SLOVENIA_SETTLEMENTCAPACITY_PRICE_[EUR/MW];SLOVENIA_DEFICIT(-)_SURPLUS(+)_[MW];SWITZERLAND_DEMAND_[MW];SWITZERLAND_SETTLEMENTCAPACITY_PRICE_[EUR/MW];SWITZERLAND_DEFICIT(-)_SURPLUS(+)_[MW];CZECH_REPUBLIC_DEMAND_[MW];CZECH_REPUBLIC_SETTLEMENTCAPACITY_PRICE_[EUR/MW];CZECH_REPUBLIC_DEFICIT(-)_SURPLUS(+)_[MW]
01/03/2025;01/03/2025;FCR;1;NEGPOS_00_04;13,6;65;13,6;4;86;57,53;-60;25;13,6;-24;516;13,6;99;528;13,6;143;123;13,6;-86;14;13,6;-14;67;82,1;-46;73;13,6;-16
01/03/2025;01/03/2025;FCR;1;NEGPOS_04_08;24;65;24;7;86;54,96;-60;25;17,7;-24;516;24;48;528;17,7;189;123;24;-86;14;24;-14;67;78,42;-46;73;24;-14
01/03/2025;01/03/2025;FCR;1;NEGPOS_08_12;30,68;65;30,68;7;86;42,28;-60;25;30,68;-24;516;30,68;125;528;30,68;94;123;30,68;-86;14;30,68;-14;67;82,72;-28;73;30,68;-14
01/03/2025;01/03/2025;FCR;1;NEGPOS_12_16;28,9;65;28,9;2;86;46,48;-60;25;26,11;-24;516;28,9;34;528;26,11;189;123;28,9;-78;14;28,9;-14;67;60;-35;73;28,9;-14
01/03/2025;01/03/2025;FCR;1;NEGPOS_16_20;33;65;33;7;86;42,16;-60;25;33;-24;516;33;154;528;33;67;123;33;-86;14;33;-14;67;45,46;-39;73;33;-5
01/03/2025;01/03/2025;FCR;1;NEGPOS_20_24;15;65;15;0;86;42,16;-60;25;15;-24;516;13,4;154;528;15;92;123;15;-86;14;15;-14;67;69,29;-46;73;15;-16
02/03/2025;02/03/2025;FCR;1;NEGPOS_00_04;26,84;65;26,84;5;86;58;-60;25;18,54;-24;516;26,84;31;528;18,54;189;123;26,84;-78;14;26,84;-14;67;108;-35;73;26,84;-14
02/03/2025;02/03/2025;FCR;1;NEGPOS_04_08;50;65;50;12;86;56,8;-60;25;35;-24;516;50;-15;528;35;189;123;50;-48;14;50;-14;67;92;-35;73;50;-5
02/03/2025;02/03/2025;FCR;1;NEGPOS_08_12;53,5;65;53,5;0;86;53,5;-60;25;53,5;-23;516;53,5;82;528;53,5;135;123;53,5;-72;14;53,5;-14;67;116;-46;73;53,5;-2
02/03/2025;02/03/2025;FCR;1;NEGPOS_12_16;55,6;65;55,6;8;86;56,64;-60;25;55,6;-23;516;21,76;154;528;55,6;45;123;55,6;-64;14;55,6;-12;67;100;-46;73;55,6;-2
