DATE_FROM;DATE_TO;GATE_OPEN_TIME;GATE_CLOSURE_TIME;ALLOCATION_DEADLINE;PRODUCT;TOTAL_DEMAND ;GERMANY_DEMAND
01/03/2025;01/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1497 MW;528 MW
01/03/2025;01/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1498 MW;529 MW
01/03/2025;01/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1499 MW;530 MW
01/03/2025;01/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1500 MW;531 MW
01/03/2025;01/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1501 MW;532 MW
01/03/2025;01/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1502 MW;533 MW
02/03/2025;02/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1503 MW;534 MW
02/03/2025;02/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1504 MW;535 MW
02/03/2025;02/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1505 MW;536 MW
02/03/2025;02/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1506 MW;537 MW
02/03/2025;02/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1507 MW;538 MW
02/03/2025;02/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1508 MW;539 MW
03/03/2025;03/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1509 MW;540 MW
03/03/2025;03/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1510 MW;541 MW
03/03/2025;03/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1511 MW;542 MW
03/03/2025;03/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1512 MW;543 MW
03/03/2025;03/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1513 MW;544 MW
03/03/2025;03/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1514 MW;545 MW
04/03/2025;04/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1515 MW;546 MW
04/03/2025;04/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1516 MW;547 MW
04/03/2025;04/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1517 MW;548 MW
04/03/2025;04/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1518 MW;549 MW
04/03/2025;04/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1519 MW;550 MW
04/03/2025;04/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1520 MW;551 MW
05/03/2025;05/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1521 MW;552 MW
05/03/2025;05/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1522 MW;553 MW
05/03/2025;05/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1523 MW;554 MW
