Date,Offered_Capacity_MW,Procured_Capacity_MW,Clearing_Price_EUR
2024-01-01,600.0,550.0,200.0
2024-01-02,601.0,551.0,200.51
2024-01-03,603.0,553.0,201.01
2024-01-04,604.0,554.0,201.52
2024-01-05,605.0,555.0,202.03
2024-01-06,606.0,556.0,202.53
2024-01-07,608.0,558.0,203.04
2024-01-08,609.0,559.0,203.54
2024-01-09,610.0,560.0,204.05
2024-01-10,611.0,561.0,204.56
2024-01-11,613.0,563.0,205.06
2024-01-12,614.0,564.0,205.57
2024-01-13,615.0,565.0,206.08
2024-01-14,616.0,566.0,206.58
2024-01-15,618.0,568.0,207.09
2024-01-16,619.0,569.0,207.59
2024-01-17,620.0,570.0,208.1
2024-01-18,622.0,572.0,208.61
2024-01-19,623.0,573.0,209.11
2024-01-20,624.0,574.0,209.62
2024-01-21,625.0,575.0,210.13
2024-01-22,627.0,577.0,210.63
2024-01-23,628.0,578.0,211.14
2024-01-24,629.0,579.0,211.65
2024-01-25,630.0,580.0,212.15
2024-01-26,632.0,582.0,212.66
2024-01-27,633.0,583.0,213.16
2024-01-28,634.0,584.0,213.67
2024-01-29,635.0,585.0,214.18
2024-01-30,637.0,587.0,214.68
2024-01-31,638.0,588.0,215.19
2024-02-01,639.0,589.0,215.7
2024-02-02,641.0,591.0,216.2
2024-02-03,642.0,592.0,216.71
2024-02-04,643.0,593.0,217.22
2024-02-05,644.0,594.0,217.72
2024-02-06,646.0,596.0,218.23
2024-02-07,647.0,597.0,218.73
2024-02-08,648.0,598.0,219.24
2024-02-09,649.0,599.0,219.75
2024-02-10,651.0,601.0,220.25
2024-02-11,652.0,602.0,220.76
2024-02-12,653.0,603.0,221.27
2024-02-13,654.0,604.0,221.77
2024-02-14,656.0,606.0,222.28
2024-02-15,657.0,607.0,222.78
2024-02-16,658.0,608.0,223.29
2024-02-17,659.0,609.0,223.8
2024-02-18,661.0,611.0,224.3
2024-02-19,662.0,612.0,224.81
2024-02-20,663.0,613.0,225.32
2024-02-21,665.0,615.0,225.82
2024-02-22,666.0,616.0,226.33
2024-02-23,667.0,617.0,226.84
2024-02-24,668.0,618.0,227.34
2024-02-25,670.0,620.0,227.85
2024-02-26,671.0,621.0,228.35
2024-02-27,672.0,622.0,228.86
2024-02-28,673.0,623.0,229.37
2024-02-29,675.0,625.0,229.87
2024-03-01,676.0,626.0,230.38
2024-03-02,677.0,627.0,230.89
2024-03-03,678.0,628.0,231.39
2024-03-04,680.0,630.0,231.9
2024-03-05,681.0,631.0,232.41
2024-03-06,682.0,632.0,232.91
2024-03-07,684.0,634.0,233.42
2024-03-08,685.0,635.0,233.92
2024-03-09,686.0,636.0,234.43
2024-03-10,687.0,637.0,234.94
2024-03-11,689.0,639.0,235.44
2024-03-12,690.0,640.0,235.95
2024-03-13,691.0,641.0,236.46
2024-03-14,692.0,642.0,236.96
2024-03-15,694.0,644.0,237.47
2024-03-16,695.0,645.0,237.97
2024-03-17,696.0,646.0,238.48
2024-03-18,697.0,647.0,238.99
2024-03-19,699.0,649.0,239.49
2024-03-20,700.0,650.0,240.0
